Val,Ticker,Date,Condition
0.15,OIH,2021-06-26 00:00:00,1.0
0.18,OIH,2021-06-26 00:00:00,1.0
0.2,OIH,2021-06-26 00:00:00,1.0
0.08,GDX,2020-10-09 00:00:00,1.0
0.1,GDX,2020-10-09 00:00:00,1.0
0.13,GDX,2020-10-09 00:00:00,1.0
0.15,GDX,2020-10-09 00:00:00,1.0
0.18,GDX,2020-10-09 00:00:00,1.0
0.2,GDX,2020-10-09 00:00:00,1.0
0.18,XHB,2020-11-11 00:00:00,1.0
0.2,XHB,2020-11-11 00:00:00,1.0
0.18,XLV,2021-03-06 00:00:00,1.0
0.2,XLV,2021-03-06 00:00:00,1.0
0.08,XLU,2020-12-17 00:00:00,1.0
0.1,XLU,2020-12-17 00:00:00,1.0
0.13,XLU,2020-12-17 00:00:00,1.0
0.15,XLU,2020-12-17 00:00:00,1.0
0.18,XLU,2020-12-17 00:00:00,1.0
0.2,XLU,2020-12-17 00:00:00,1.0
0.03,IYR,2020-12-23 00:00:00,1.0
0.05,IYR,2020-12-23 00:00:00,1.0
0.08,IYR,2020-12-23 00:00:00,1.0
0.1,XOP,2020-10-07 00:00:00,1.0
0.13,XOP,2020-10-07 00:00:00,1.0
0.15,XOP,2020-10-07 00:00:00,1.0
0.18,XOP,2020-10-07 00:00:00,1.0
0.2,XOP,2020-10-07 00:00:00,1.0
0.05,KBE,2021-03-27 00:00:00,1.0
0.08,KBE,2021-03-27 00:00:00,1.0
0.1,KBE,2021-03-27 00:00:00,1.0
0.13,KBE,2021-03-27 00:00:00,1.0
0.15,KBE,2021-03-27 00:00:00,1.0
0.18,KBE,2021-03-27 00:00:00,1.0
0.2,KBE,2021-03-27 00:00:00,1.0
0.2,XLV,2021-06-09 00:00:00,1.0
0.08,KBE,2021-07-10 00:00:00,1.0
0.1,GDXJ,2021-07-10 00:00:00,1.0
0.13,GDXJ,2021-07-10 00:00:00,1.0
0.15,GDXJ,2021-07-10 00:00:00,1.0
0.18,GDXJ,2021-07-10 00:00:00,1.0
0.2,GDXJ,2021-07-10 00:00:00,1.0
0.05,XLV,2021-02-06 00:00:00,1.0
0.08,GDX,2021-02-06 00:00:00,1.0
0.1,GDX,2021-02-06 00:00:00,1.0
0.13,GDX,2021-02-06 00:00:00,1.0
0.15,GDX,2021-02-06 00:00:00,1.0
0.18,GDX,2021-02-06 00:00:00,1.0
0.2,GDX,2021-02-06 00:00:00,1.0
0.15,XOP,2021-08-04 00:00:00,1.0
0.18,XOP,2021-08-04 00:00:00,1.0
0.2,XOP,2021-08-04 00:00:00,1.0
0.03,KBE,2021-04-09 00:00:00,1.0
0.05,KBE,2021-04-09 00:00:00,1.0
0.08,KBE,2021-04-09 00:00:00,1.0
0.1,KBE,2021-04-09 00:00:00,1.0
0.13,KBE,2021-04-09 00:00:00,1.0
0.15,KBE,2021-04-09 00:00:00,1.0
0.18,KBE,2021-04-09 00:00:00,1.0
0.2,KBE,2021-04-09 00:00:00,1.0
0.05,XLI,2020-04-03 00:00:00,1.0
0.08,XLI,2020-04-03 00:00:00,1.0
0.1,XLI,2020-04-03 00:00:00,1.0
0.13,XLI,2020-04-03 00:00:00,1.0
0.15,XLI,2020-04-03 00:00:00,1.0
0.18,XLI,2020-04-03 00:00:00,1.0
0.2,XLI,2020-04-03 00:00:00,1.0
0.03,IYR,2021-05-20 00:00:00,1.0
0.05,IYR,2021-05-20 00:00:00,1.0
0.08,IYR,2021-05-20 00:00:00,1.0
0.1,XLU,2020-12-03 00:00:00,1.0
0.13,XLU,2020-12-03 00:00:00,1.0
0.15,XLU,2020-12-03 00:00:00,1.0
0.18,XLU,2020-12-03 00:00:00,1.0
0.2,XLU,2020-12-03 00:00:00,1.0
0.18,XLP,2020-09-30 00:00:00,1.0
0.2,XLP,2020-09-30 00:00:00,1.0
0.05,XOP,2020-04-01 00:00:00,1.0
0.08,XOP,2020-04-01 00:00:00,1.0
0.1,XOP,2020-04-01 00:00:00,1.0
0.13,XOP,2020-04-01 00:00:00,1.0
0.15,XOP,2020-04-01 00:00:00,1.0
0.18,XOP,2020-04-01 00:00:00,1.0
0.2,XOP,2020-04-01 00:00:00,1.0
0.15,XOP,2021-01-01 00:00:00,1.0
0.18,XOP,2021-01-01 00:00:00,1.0
0.2,XOP,2021-01-01 00:00:00,1.0
0.03,SMH,2021-05-08 00:00:00,1.0
0.05,XLU,2021-05-08 00:00:00,1.0
0.08,XLU,2021-05-08 00:00:00,1.0
0.1,XLU,2021-05-08 00:00:00,1.0
0.13,XLU,2021-05-08 00:00:00,1.0
0.15,XLU,2021-05-08 00:00:00,1.0
0.18,XLU,2021-05-08 00:00:00,1.0
0.2,XLU,2021-05-08 00:00:00,1.0
0.03,^GSPC,2020-09-17 00:00:00,1.0
0.05,^GSPC,2020-09-17 00:00:00,1.0
0.08,^GSPC,2020-09-17 00:00:00,1.0
0.1,^GSPC,2020-09-17 00:00:00,1.0
0.13,^GSPC,2020-09-17 00:00:00,1.0
0.15,^GSPC,2020-09-17 00:00:00,1.0
0.18,^GSPC,2020-09-17 00:00:00,1.0
0.2,^GSPC,2020-09-17 00:00:00,1.0
0.03,XHB,2020-06-30 00:00:00,1.0
0.05,XHB,2020-06-30 00:00:00,1.0
0.08,XHB,2020-06-30 00:00:00,1.0
0.1,XHB,2020-06-30 00:00:00,1.0
0.13,XHB,2020-06-30 00:00:00,1.0
0.15,XHB,2020-06-30 00:00:00,1.0
0.18,XHB,2020-06-30 00:00:00,1.0
0.2,XHB,2020-06-30 00:00:00,1.0
0.08,XTL,2021-07-28 00:00:00,1.0
0.1,XTL,2021-07-28 00:00:00,1.0
0.13,GDX,2021-07-28 00:00:00,1.0
0.15,GDX,2021-07-28 00:00:00,1.0
0.18,GDX,2021-07-28 00:00:00,1.0
0.2,GDX,2021-07-28 00:00:00,1.0
0.15,XLP,2020-05-13 00:00:00,1.0
0.18,XLP,2020-05-13 00:00:00,1.0
0.2,XLP,2020-05-13 00:00:00,1.0
0.13,ITB,2020-07-04 00:00:00,1.0
0.15,ITB,2020-07-04 00:00:00,1.0
0.18,ITB,2020-07-04 00:00:00,1.0
0.2,ITB,2020-07-04 00:00:00,1.0
0.08,GDXJ,2020-08-27 00:00:00,1.0
0.1,GDXJ,2020-08-27 00:00:00,1.0
