Time,Ticker,Mean,Std
105,XLF,4.739508185620723,14.224124382709231
110,XLF,4.88344122653105,14.690681044039723
115,XLF,5.047791686164912,15.14973037775264
120,XLF,5.212131563258818,15.637397221302765
5,XLU,0.06307670980202931,2.587023877341898
10,XLU,0.13120155074037568,3.7438274417627584
15,XLU,0.17479475099065392,4.463677452041547
20,XLU,0.22778049443300147,5.100393485094854
25,XLU,0.26330511379512,5.6740892400678025
30,XLU,0.2953836338413161,6.145919805815769
35,XLU,0.3069161285512756,6.452017372825073
40,XLU,0.2635609744113405,6.588652389665281
45,XLU,0.19744875961056743,6.52855042846552
50,XLU,0.17038821302929313,6.420055358794197
55,XLU,0.17413761044222084,6.30616760905453
60,XLU,0.15397367214531454,6.156172057220977
65,XLU,0.10428760621799701,5.9510675921551295
70,XLU,0.09114569654659269,5.8158990665384245
75,XLU,0.0771588586190401,5.658823389878725
80,XLU,0.0815447351048306,5.530901937822056
85,XLU,0.10901931684472951,5.601045471764844
90,XLU,0.1781985251358109,5.833816305474792
95,XLU,0.25784423324739913,6.01919391459028
100,XLU,0.3204519676799361,6.223304501885166
105,XLU,0.37976018587758026,6.516298374933977
110,XLU,0.4371342742846009,6.961851895121132
115,XLU,0.5083767008954829,7.4679947419842945
120,XLU,0.5768099366690363,7.8286709909753025
5,XLI,0.22977878893995177,2.528028082629012
10,XLI,0.446607568101494,3.5243605330258005
15,XLI,0.6476505659437746,4.287902244046299
20,XLI,0.8493320553597034,4.980881585175311
25,XLI,1.0253743306806615,5.636841063848752
30,XLI,1.2232173553268457,6.162135591098507
35,XLI,1.4265696731204496,6.49467691976872
40,XLI,1.6097634739354674,6.805436746349803
45,XLI,1.7702136841571912,6.959981357478568
50,XLI,1.940812209090177,7.079880271671225
55,XLI,2.169898718014124,7.231717774155011
60,XLI,2.371150916923177,7.446897066989431
65,XLI,2.5525420430710732,7.6339332642815885
70,XLI,2.7212255787360364,7.879955042806758
75,XLI,2.880790816521566,8.145439581208256
80,XLI,3.0515225819039924,8.333889041999074
85,XLI,3.2307663827875976,8.566877376281099
90,XLI,3.426365827399001,8.833106556732716
95,XLI,3.6205380395062363,9.047321763275644
100,XLI,3.810539225566199,9.256082945132034
105,XLI,3.984905134682425,9.529125875825653
110,XLI,4.1702041679510895,9.857236331832611
115,XLI,4.366186909845916,10.200262944821395
120,XLI,4.557081298017273,10.540419216774257
5,XLK,0.3384275746849699,3.3046928971864444
10,XLK,0.6452416523682859,4.54129568045814
15,XLK,0.9306716720323782,5.493567414453395
20,XLK,1.233713033580765,6.178483217666212
25,XLK,1.5051088513766633,6.773342229401767
30,XLK,1.7811758265491453,7.188396764315012
35,XLK,2.0626267919810974,7.611347970623582
40,XLK,2.336104557791655,8.071600928984198
45,XLK,2.5701815346776624,8.36261803634141
50,XLK,2.8244442132504894,8.671195706760837
55,XLK,3.1453907465465516,9.092784397017358
60,XLK,3.452132356525968,9.559724807936012
65,XLK,3.756747823283944,9.914301438973409
70,XLK,4.043100452059956,10.237674482624746
75,XLK,4.306438957933759,10.553106457594266
80,XLK,4.570145566517103,10.906133442558216
85,XLK,4.8709840651129825,11.346418404581199
90,XLK,5.19105245238838,11.880832360064854
95,XLK,5.507644867258022,12.395976890320219
100,XLK,5.830406856869906,12.891479995417242
105,XLK,6.141118236335069,13.433588343360299
110,XLK,6.44678424696438,13.945836030985648
115,XLK,6.733399510989395,14.398242585555302
120,XLK,7.029887388267459,14.893958273593002
5,XLV,0.1420238007995351,2.1174389685239126
10,XLV,0.27565044982931763,2.8711026613737847
15,XLV,0.39499108805389777,3.3564439588173673
20,XLV,0.5332751712503692,3.751472418359677
25,XLV,0.6534663294719182,4.108029659516254
30,XLV,0.8075683036455349,4.427843559585959
35,XLV,0.9599287368658556,4.666637592083806
40,XLV,1.0989331424930417,4.878385464926164
45,XLV,1.2273347205467846,5.015064022232787
50,XLV,1.3666419385253417,5.11052926520123
55,XLV,1.5379985451018052,5.143491148945994
60,XLV,1.6766072538269194,5.154266079811979
65,XLV,1.8011910448186659,5.089137726821292
70,XLV,1.9436383392130323,5.038179313020992
75,XLV,2.0935079066603963,5.097100340785016
80,XLV,2.2393630426495164,5.169259464265561
85,XLV,2.384483334524409,5.343663113411644
90,XLV,2.53979314696381,5.580652738439066
95,XLV,2.699226898896321,5.780979501143658
100,XLV,2.8222972407800224,5.985333476354529
105,XLV,2.9283825734318056,6.195279596185623
110,XLV,3.041592436934949,6.438689605400381
115,XLV,3.1726497220176655,6.767249920646901
120,XLV,3.30441211277097,7.022212973439952
5,XLY,0.1489331682079012,3.459164992594617
10,XLY,0.2742258285373768,4.797970263170335
15,XLY,0.3858613697848005,5.8936381488448095
20,XLY,0.49414094941115516,6.701878237984122
25,XLY,0.5681646561357873,7.409284104525965
30,XLY,0.6542617764224088,8.018371883579922
35,XLY,0.751667862948746,8.508449170074345
40,XLY,0.8338785873119215,8.93893700192059
45,XLY,0.8908235575342456,9.230617684290348
50,XLY,0.9630766260737251,9.558435225190788
55,XLY,1.1079763798509645,9.946641545649308
60,XLY,1.2363533812962195,10.35412303380839
65,XLY,1.3387450332604631,10.623272955713949
70,XLY,1.413401958970169,10.819776387996132
75,XLY,1.473100976111952,11.08347382970448
80,XLY,1.5525886479349542,11.289759748598279
85,XLY,1.649594794083679,11.54615282153213
90,XLY,1.7507829122491876,11.855415139929967
95,XLY,1.8455831022393883,12.106799876456718
100,XLY,1.9418681716742165,12.376682505249393
105,XLY,2.0106008751686737,12.741331970621111
110,XLY,2.0787380599607803,13.175766115643821
115,XLY,2.1401134422275265,13.58907442297959
120,XLY,2.1923805170821655,14.01032906098304
5,XLP,0.07114897772605858,1.8687822474729605
10,XLP,0.12999277557705186,2.618220171714503
15,XLP,0.17922468049405288,3.186748689409061
20,XLP,0.23683315117513973,3.7153883658237556
25,XLP,0.28681229052625057,4.147506699120604
30,XLP,0.347297351638127,4.51078045856252
35,XLP,0.39097534653233285,4.761828247765083
40,XLP,0.4183551772690182,4.953266100850678
45,XLP,0.44752833344276804,5.038129519006164
50,XLP,0.4911935385432123,4.9927781354497505
55,XLP,0.5762459994634602,4.943565166388963
60,XLP,0.6443061825402143,4.87659451100152
